,OrderID,CustomerID,ProductName,Brand,Raw_Weight,Country,OrderDate,UnitPrice,Weight_Numeric
94,REC-994160,11794,Thé - Biscuits,Lu,350 g ℮,"France,New Caledonia,Réunion,Switzerland",2025-04-07,2.33,350.0
95,REC-607612,8211,Petites Madeleines,St Michel,500 g,"en:france, en:martinique, en:La Réunion, en:Switzerland",2025-06-25,7.44,500.0
96,REC-331169,9169,Goûter pépites de chocolat,Unknown,"3 sachets de 4 biscuits, 250g","Belgium,France,French Polynesia,Réunion,Switzerland",2025-09-28,1.01,3.0
97,REC-130025,8900,Sea salt & cider vinegar chips,Unknown,150 g,"France, Germany, Switzerland, United Kingdom, en:netherlands",2024-10-10,17.32,150.0
98,REC-219484,5608,Príncipe crema de chocolate,"LU,Mondelēz",300 g 15.5,"Francia,Marruecos,España",2025-03-21,14.49,300.0
99,REC-480927,14848,Kinder bueno White,Kinder,39 g,"Belgique,Bulgarie,France,Allemagne,Hongrie,Italie,Maroc,Pologne,Roumanie,Serbie,Espagne,Suisse,Thaïlande,Royaume-Uni",2025-09-21,19.57,39.0
100,REC-699692,14144,Sea Salt Lentil Chips,Proper Chips,,United Kingdom,2025-05-25,23.12,
101,REC-392540,6866,Napolitain l'Original,"LU, Mondelez, Mondelez International",180 g (6 x 30 g),France,2025-11-10,24.73,180.0
102,REC-958052,13313,Petits fours financiers,Unknown,500 g,"France, en:morocco",2025-09-29,12.77,500.0
103,REC-151159,12792,Biscuits pavot citron,Gerblé,200 g,"France,Réunion,Switzerland",2025-10-20,11.76,200.0
104,REC-287331,14177,The Original Crunchy Rye Breads,Ryvita,250 g,"United Kingdom, en:ireland",2026-01-18,17.49,250.0
105,REC-904456,7274,Pringles Original,Unknown,165g,"Bélgica,Dinamarca,Francia,Alemania,Grecia,Irlanda,Italia,Marruecos,Países Bajos,Nigeria,Rumania,España,Reino Unido",2025-09-15,4.56,165.0
106,REC-561658,8242,Blueberry Muffin Myrtilles,nakd,4 x 35g,"France,Germany,Ireland,Morocco,Poland,United Kingdom",2024-05-16,5.74,4.0
107,REC-884876,8901,merendina big,bimo,52g,en:Morocco,2025-05-21,8.14,52.0
108,REC-221353,9692,Belvita Original Petit-Déjeuner miel et pépites de chocolat,LU,440 g,"Belgium,France,French Polynesia,Réunion,Switzerland",2024-04-04,21.53,440.0
109,REC-279860,11879,Véritable Petit Écolier Chocolat au Lait,Unknown,150 g (12x 12.5 g) e,"Algeria,Belgium,Canada,France,Morocco,Switzerland",2025-11-09,11.82,150.0
110,REC-996817,10003,Galletas fibra zero azúcares,Gullón,170 g,"Portugal,España",2024-09-27,13.03,170.0
111,REC-407433,13728,Belvita Petit Déjeuner Chocolat,"LU,Mondelez",,"en:belgium, en:france, en:guadeloupe, en:luxembourg, en:Belgique, en:La-reunion, en:Switzerland",2025-01-16,2.77,
112,REC-160782,9873,Caramelised popcorn seasoned with sea salt,Proper,28 gram,"Belgium, France, United Kingdom, en:netherlands",2024-08-02,4.7,28.0
113,REC-221530,8033,Edelbitter Mild 90%,Unknown,125g,"Belgium,France,Germany,Morocco,Netherlands,Switzerland",2025-08-23,2.26,125.0
114,REC-183716,12748,Véritable Petit Beurre Pocket,lu,300 g,"Belgium,France,Guadeloupe,Lebanon,Réunion,Switzerland",2025-11-15,11.48,300.0
115,REC-878584,11980,Chips de lentilles saveur fines herbes,Unknown,85 g,France,2025-07-31,1.81,85.0
116,REC-777037,13194,Chocolat noir Equateur Bio,J.D. Gross,100 g,France,2024-09-16,7.37,100.0
117,REC-762689,9488,Biscuit complet au germe de blé,Gerblé,210 g,"France,Guadeloupe,Maroc,La Réunion,Suisse",2024-05-10,3.33,210.0
118,REC-789279,9528,Milka galette choco,"LU, Milka",260 g,"France, Germany, Morocco, Spain, en:belgium",2025-05-23,12.59,260.0
119,REC-188975,5634,Multigrain Crispbread,RYVITA,250 g,"France, United Kingdom, en:ireland",2025-10-15,23.74,250.0
120,REC-476256,8438,Tartines craquantes sarrasin,Céréal Bio,145 g,France,2025-03-16,12.31,145.0
121,REC-337130,14724,Excellence Noir à la Pointe de Fleur de Sel,Lindt,100 g (10 carrés),"France,Suisse",2025-01-07,13.22,100.0
122,REC-415413,5434,NAKD Cacahuètes - 140g (4x1p),"Nakd.,Natural Balance Foods",140 g,"en:belgium, en:france, en:luxembourg, en:spain, fr:Francia",2025-04-14,12.23,140.0
123,REC-599217,6506,Cream Crackers,Unknown,300 g,"France,Suisse,Royaume-Uni",2026-01-10,14.86,300.0
125,REC-563059,5998,Pistaches de Californie,"Alesto, Lidl",,"Bélgica,República Checa,França,Alemanha,Marrocos,Portugal,Espanha",2024-12-13,13.4,
126,REC-294785,13490,Organic Crisp Bread,DR KARG'S,,"France,Allemagne,Royaume-Uni",2024-05-02,6.38,
127,REC-693740,12990,Brioche Tranchée Recette Classique,Harrys,485 g,France,2024-03-09,21.83,485.0
128,REC-760615,11250,Véritable Petit Beurre,Lu,,"France,Suisse",2026-01-20,15.12,
129,REC-195486,11785,"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g",Unknown,150 g ℮,"Belgium,France",2025-02-24,6.11,150.0
130,REC-516677,9726,Cheese Oatcakes,nairn's,200 g,"France,United Kingdom",2024-10-28,11.21,200.0
131,REC-146982,12015,Dark Chocolate,Fin Carré,100g,"Finland,France,Germany,Italy,Latvia,Switzerland,United Kingdom,United States,Czech Republic",2026-01-29,17.47,100.0
132,REC-239925,12675,Wholegrain Wheat Bixies,Crownfield - Lidl,720g - 36,"Ireland, Malta",2025-01-18,9.7,720.0
133,REC-109693,9652,Granola LU,LU,184g,France,2024-10-18,1.26,184.0
135,REC-176522,5950,Sour Cream & Onion chips,Pringles,185g,"France, Germany, Spain, Switzerland, United Kingdom, en:austria",2025-09-29,11.05,185.0
136,REC-145901,9071,Belvita Brut & 5 céréales complètes,Lu,400 gram,"Belgique,France,Luxembourg,Nouvelle-Calédonie,Suisse",2024-07-18,24.59,400.0
138,REC-360302,11499,Chocolate negro 95% cacao,J. D. Gross,125 g,"Francuska,Njemačka,Španjolska,Hrvatska,Slovenija,Grčka,Cipar",2026-01-08,2.66,125.0
139,REC-633933,10355,Goûter aux raisins,Gerblé,360 g,"Belgique,France,La Réunion,Suisse",2024-03-28,8.33,360.0
140,REC-187987,6562,Pringles sour cream & onion,"Pringles,Kellogg's",40g,"Austria,Bélgica,Francia,Alemania,Marruecos,Países Bajos,España,Suiza,Reino Unido",2024-10-22,23.61,40.0
141,REC-307690,13557,Granola L'original Gros éclats de chocolat,"Granola,LU,Mondelez",276 g,"France,Suisse",2025-01-16,5.67,276.0
142,REC-921480,8300,Milk Chocolate with Honey and Almond Nougat,Toblerone,100g,"Argelia,Australia,Bélgica,Bolivia,Bulgaria,Dinamarca,Finlandia,Francia,Alemania,Italia,Marruecos,Noruega,Polonia,Rumania,España,Suecia,Suiza,Tailandia,Ucrania,Reino Unido",2024-04-06,22.51,100.0
143,REC-715337,14087,Organic Milk Chocolate,Green & Black's,90 g,"United Kingdom, en:ireland",2024-06-17,22.67,90.0
144,REC-195153,7641,Noir Extra,Poulain,100 g,"France,Maroc",2026-01-26,23.04,100.0
145,REC-550594,9230,Le cookie Chocolat Noisette,Bjorg,200 g,Frankreich,2024-06-03,17.62,200.0
146,REC-598496,6586,Tonik,Bimo,121 g,"France,Maroc,en:morocco,",2025-01-07,21.63,121.0
148,REC-825324,7206,Spofy,henry's,50g,"France,Maroc",2024-11-20,16.28,50.0
149,REC-734212,9909,Digestive Avena,Hacendado,,"Portugal,España",2025-08-31,8.32,
150,REC-967946,8890,Galettes St Michel au beurre 4X5 - 130g,St michel,130 g,"Belgien, Frankreich, Guadeloupe, Italien, Martinique, Marokko, Schweiz, Germany",2024-05-13,10.36,130.0
151,REC-561526,12868,Petit brun extra,"Brun,Mondelez",,France,2025-12-26,4.41,
152,REC-306391,8081,"BN - Casse Croute Biscuits, 375g",BN,400 g,France,2024-10-01,1.85,400.0
153,REC-518782,13160,Goûter aux écorces confites,Gerblé,360 g,Francia,2025-11-15,5.87,360.0
154,REC-994456,14348,Шоколад с 6% парченца малини,J.D. GROSS,125 g,"Bulgarie,France,Italie,Portugal,Espagne,Suisse,Royaume-Uni",2024-11-27,13.16,125.0
155,REC-245946,5600,Milka Tablette Noisette,"Milka, Mondelez",100g,"Algeria, Austria, Czech Republic, France, Germany, Morocco, Switzerland, en:slovakia",2025-07-28,18.95,100.0
156,REC-986860,14640,Sablé saveur COCO,Gerblé,132 g,"Belgique,France,Thaïlande",2025-03-16,13.36,132.0
157,REC-253786,8062,Moelleux chocolat,"Belvita, LU, Mondelez International",250 g,"Belgique,France,Maroc,La Réunion,Suisse",2024-04-25,16.82,250.0
159,REC-908189,12873,Ferrero Rocher,Ferrero,375 g,"Algérie,France,Allemagne,Irlande,Maroc",2024-12-23,24.19,375.0
160,REC-722929,11952,NOIR DEGUSTATION 70% CARAMEL,J. D. Gross,125 g,"France,Germany,Italy,Spain,United Kingdom",2024-08-01,1.32,125.0
161,REC-215654,9846,Excellence Noir Délicat Doux 85% Cacao,Lindt EXCELLENCE,100g,"Austria,Czech Republic,France,Germany,Morocco",2024-05-21,20.25,100.0
162,REC-107243,11322,La Madeleine Pur beurre,Bonne Maman,300 g (12 sachets individuels),"France,Suisse",2025-05-21,16.68,300.0
164,REC-662848,7254,Blueberry Muffin raw fruit & nut bar,nākd,35 g,United Kingdom,2024-08-31,20.63,35.0
165,REC-184393,14014,OREO ORIGINAL,OREO,154 g,"Austria,Belgium,Finland,France,Germany,Greece,Italy,Netherlands,Norway,Sweden,Switzerland",2024-10-15,13.24,154.0
166,REC-317612,6203,Benco Original,Benco,400g,France,2024-12-05,1.14,400.0
167,REC-421289,10212,Pringles Sour Cream,"Pringles,Kellogg's",165g,"Bélgica,Alemania,Irlanda,Marruecos,Países Bajos,España,Reino Unido",2024-04-07,18.43,165.0
168,REC-525010,10985,Pelotazos futebolas,Cheetos,32g,"France,Morocco",2024-04-13,2.57,32.0
170,REC-958697,8352,"Crunchy Oats and Dark chocolate, 2 Barres de 21 g",Unknown,42 g,"Belgique,France,Allemagne,Irlande,Espagne,Royaume-Uni",2025-05-12,9.32,42.0
172,REC-312331,6897,Peter's Yard Original Sourdough Crackers,Unknown,,"France,United States,Ireland,United Kingdom",2026-01-25,20.18,
174,REC-384172,10530,Cuetara Digesta Light 200G Marie Cookies,Unknown,200g,"France,Maroc",2025-10-20,6.38,200.0
175,REC-394564,14380,Cacao,Lactel,39 g,"Belgique,Bulgarie,France,Allemagne,Hongrie,Italie,Mexique,Maroc,Portugal,Roumanie,Espagne,Suisse",2026-01-17,7.07,39.0
177,REC-613302,12237,Gingembre saveur citron 🍋,Gerblé,132 g,"France,La Réunion",2025-11-22,24.85,132.0
179,REC-756048,10104,Kinder Country,"Kinder, Ferrero",211.5 g,"Autriche,France,Allemagne,Italie,Suisse",2024-08-18,19.95,211.5
180,REC-731114,7998,Sweet & Salty Popcorn,Proper Corn,14g,United Kingdom,2025-09-21,16.02,14.0
181,REC-881552,13965,Gocciole classiche pav 500 gr,Pavesi,500 g,"Belgium,France,Germany,Italy,Switzerland",2025-10-27,17.3,500.0
182,REC-687196,7075,Protein Caramel salé Cacahuètes,Nature Valley,"160 g ℮, 4 barres de 40 g",France,2025-08-17,17.22,160.0
183,REC-542590,8875,85% Cocoa - Dark Chocolate,Moser Roth,125 g,"United Kingdom,Ireland",2025-07-01,18.29,125.0
184,REC-447906,6547,Noir equitable 85% Pérou,Alter Eco,100 g e,"Belgium,France,Switzerland",2025-07-31,1.22,100.0
185,REC-187921,5654,Nutella,"Ferrero,Nutella",825g,"Deutschland,Marokko",2024-07-04,13.84,825.0
186,REC-272094,5174,Oatibix,Unknown,24 biscuits,"France, Spain, United Kingdom, en:ireland",2024-07-02,13.15,24.0
187,REC-477529,14784,Kinder Cards,"Ferrero,Kinder",128 g,"Belgien,Bulgarien,Finnland,Frankreich,Deutschland,Ungarn,Italien,Luxemburg,Marokko,Rumänien,Spanien,Schweden,Schweiz",2025-12-17,10.3,128.0
188,REC-563532,9187,Petites Madeleines pépites chocolat,St Michel,400 g,"France,Suisse",2025-08-31,11.68,400.0
189,REC-172405,5318,8 Pains au lait frais Bio 280g,Unknown,280 g,France,2025-02-20,21.26,280.0
191,REC-601917,6223,single origin milk chocolate,Marks & Spencer,100g,"France, Royaume-Uni",2025-01-06,21.81,100.0
192,REC-542762,6066,Petit Cookies Pépites de chocolat,Bonne Maman,250g,"Belgium, France, Luxembourg, Switzerland, en:united-kingdom",2024-07-17,5.73,250.0
193,REC-600233,8833,Petit écolier chocolat noir pur beurre de cacao,LU,150 g,"Canada,Frankrijk,Duitsland,Marokko,Réunion,Spanje,Zwitserland",2024-08-28,6.15,150.0
194,REC-120129,10797,Sweet & salty popcorn,Proper Corn,84g,United Kingdom,2024-05-06,3.61,84.0
195,REC-614314,11805,Cocoa Vanilla Oat Boosts,graze,4 x 30 g,"France,United Kingdom",2024-07-20,14.0,4.0
196,REC-151525,5140,Megachok,arluy,500g,"France,Morocco,New Caledonia",2024-05-28,18.21,500.0
197,REC-217744,7396,Cranberry saveur amande,Gerblé,132 g (4 × 3 biscuits),"Frankrijk,Réunion",2025-05-12,9.15,132.0
198,REC-737686,10860,"Biscuits 3 graines Kasha, Sésame, Pavot",Unknown,"132 g, 4 sachets de 3 biscuits","France,La Réunion",2024-08-01,21.57,132.0
199,REC-310932,14834,Chocolat noir 85% Madagascar,Ethiquable,100 g,"France,Spain",2025-04-19,7.05,100.0
200,REC-343699,13161,Véritable petit beurre,"LU, Mondelez, Mondelez international",200 g e,"France,Guadeloupe,La Réunion,Suisse",2024-07-26,19.29,200.0
201,REC-499216,11117,TEXAS BBQ SAUCE,PRINGLES,,"Belgium,Bulgaria,Germany,Ireland,Morocco,Romania,United Kingdom,Libya",2024-03-02,3.96,
202,REC-117524,5039,Extrem,Excelo,,en:Morocco,2025-10-18,23.56,
203,REC-799646,10029,Sablés chocolat,McVitie's,300 g,France,2025-04-07,1.73,300.0
205,REC-734503,14206,Kinder Bueno,Kinder,43g,"Algérie,Belgique,Allemagne,Italie,Maroc,Espagne,Suisse,Tunisie,Royaume-Uni,États-Unis,France",2024-12-31,10.66,43.0
206,REC-426267,11642,Wheat Biscuits,By Sainsbury's,,en:gb,2024-04-21,23.04,
207,REC-616790,14425,Shortbread Fingers,Walker’s,160g,United Kingdom,2025-09-16,1.6,160.0
208,REC-519560,7176,Chips saveur fromage du Jura,Brets,125 g,"France, en:morocco",2024-10-24,21.83,125.0
210,REC-255749,14155,cooky original chocolate chips,Be,,Morocco,2025-03-12,14.76,
211,REC-335372,13315,Fine Milled Oatcakes,Nairn's,218 g,"Frankrijk,Verenigd Koninkrijk",2024-12-20,4.83,218.0
212,REC-824167,8454,Chips de lentilles saveur tomate mozza,Unknown,85 g,France,2025-11-14,7.7,85.0
